ID,Capture method,Name,State,Site,Latitude,Longitude,Date,,,,,,,,
SC09,Manual,Bingara Collared Pig 9,NSW,Bingara,-29.757562,150.480041,13/02/2025,,,,,,,,
SC11,Manual,Bingara Collared Pig 11,NSW,Bingara,-29.757562,150.480041,13/02/2025,,,,,,,,
SC12,Manual,Bingara Collared Pig 12,NSW,Bingara,-29.749766,150.485982,14/02/2025,,,,,,,,
SC13,Manual,Bingara Collared Pig 13,NSW,Bingara,-29.749766,150.485982,14/02/2025,,,,,,,,
SC14,Manual,Bingara Collared Pig 14,NSW,Bingara,-29.749766,150.485982,14/02/2025,,,,,,,,
DM10,Pole syringe,Bunya Collared Pig 15,QLD,Russel park,-26.895773,151.59552,3/07/2024,,,,,,,,
DM09,Pole syringe,Bunya Collared Pig 14,QLD,Russel Park,-26.895991,151.59576,5/06/2024,,,,,,,,
DM08,Pole syringe,Bunya Collared Pig 13,QLD,Russel PARK,-26.895797,151.595552,5/06/2024,,,,,,,,
DM07,Pole syringe,Bunya Collared Pig 12,QLD,Wenhems,-26.892981,151.550766,21/03/2024,,,,,,,,
DM06,Pole syringe,Bunya Collared Pig 11,QLD,Nations ,-26.928728,151.574507,5/03/2024,,,,,,,,
DM05,Pole syringe,Bunya Collared Pig 10,QLD,Russel park ,-26.895835,151.595637,27/11/2023,,,,,,,,
DM04,Pole syringe,Bunya Collared Pig 9,QLD,Irwins,-26.871014,151.53591,24/11/2023,,,,,,,,
DM03,Pole syringe,Bunya Collared Pig 8,QLD,Irwins,-26.871043,151.535768,24/11/2023,,,,,,,,
DM02,Pole syringe,Bunya Collared Pig 7,QLD,Wattlegrove,-26.852512,151.514226,24/11/2023,,,,,,,,
DM01,Pole syringe,Bunya Collared Pig 3,QLD,Marbehvale,-26.793529,151.448498,22/05/2023,,,,,,,,
DM70,Pole syringe,Mt Hutton Collared Pig 17,QLD,Rocky hills,-25.933246,148.34189,26/09/2022,,,,,,,,
DM69,Pole syringe,Mt Hutton Collared Pig 16,QLD,Crowman,-25.822409,148.311683,24/09/2022,,,,,,,,
DM68,Pole syringe,Mt Hutton Collared Pig 15,QLD,Crowman,-25.834598,148.300096,23/09/2022,,,,,,,,
DM67,Pole syringe,Mt Hutton Collared Pig 14,QLD,Rocky hills,-25.932623,148.350265,14/07/2022,,,,,,,,
DM66,Pole syringe,Mt Hutton Collared Pig 13,QLD,Cobbahdah,-25.796259,148.326244,28/03/2022,,,,,,,,
DM65,Pole syringe,Mt Hutton Collared Pig 12,QLD,Rocky hills,-25.875122,148.291903,23/03/2022,,,,,,,,
DM64,Pole syringe,Mt Hutton Collared Pig 11,QLD,Glentulloch,-25.767853,148.388736,22/03/2022,,,,,,,,
DM63,Pole syringe,Mt Hutton Collared Pig 10,QLD,Cobbadah,-25.793477,148.374481,21/03/2022,,,,,,,,
DM62,Pole syringe,Mt Hutton Collared Pig 9,QLD,"Glentulloch
",-25.729937,148.422718,24/02/2022,,,,,,,,
DM61,Pole syringe,Mt Hutton Collared Pig 8,QLD,Glentulloch,-25.729933,148.422811,16/02/2022,,,,,,,,
DM60,Pole syringe,Mt Hutton Collared Pig 7,QLD,Rocky Hills,-25.932834,148.341731,25/11/2021,,,,,,,,
DM59,Pole syringe,Mt Hutton Collared Pig 6,QLD,Rocky Hills,-25.875018,148.284429,6/11/2021,,,,,,,,
DM58,Pole syringe,Mt Hutton Collared Pig 5,QLD,Ninderra,-25.703099,148.363626,4/11/2021,,,,,,,,
DM57,Pole syringe,Mt Hutton Collared Pig 4,QLD,Rocky Hills,-25.874979,148.284016,29/10/2021,,,,,,,,
DM56,Pole syringe,Mt Hutton Collared Pig 3,QLD,Oakey creek dam,-25.733106,148.309233,28/10/2021,,,,,,,,
DM55,Pole syringe,Mt Hutton Collared Pig 2,QLD,Rocky hills,-25.872299,148.303062,26/10/2021,,,,,,,,
DM54,Pole syringe,Mt Hutton Collared Pig 1,QLD,Rocky Hills,-25.872317,148.303294,25/10/2021,,,,,,,,
DM82,Pole syringe,Bottletree April 2021 Collared Pig 3,QLD,Bottle Tree,-25.226786,148.7747,6/05/2021,,,,,,,,
